Target,Model,Percentile,EF,n,N,Ns,ns,PM,ROCE,CCR,REF,MCC,CKC,RIE,AUC_ROC,BEDROC
vdr,Pafnucy@Surflex,1.0,0.91,655,263303,2634,5.963,0.476,0.91,0.5,0.91,-0.0,-0.0,0.91,,
adrb2,dvinaRF20@Surflex,1.0,11.76,17,311765,3118,1.999,0.922,11.767,0.554,11.761,0.008,0.001,11.76,,
aldh1,dvinaRF20@Surflex,1.0,15.74,5363,107237,1073,844.632,0.986,70.257,0.578,78.717,0.34,0.25,15.74,,
esr_ago,dvinaRF20@Surflex,1.0,7.69,13,4391,44,1.002,0.887,7.846,0.534,7.706,0.037,0.031,7.69,,
esr_antago,dvinaRF20@Surflex,1.0,0.98,88,3908,40,0.883,0.495,0.98,0.5,2.207,-0.0,-0.0,0.98,,
fen1,dvinaRF20@Surflex,1.0,5.15,360,351078,3511,18.541,0.838,5.172,0.521,5.15,0.013,0.008,5.15,,
gba,dvinaRF20@Surflex,1.0,9.64,163,291404,2915,15.718,0.906,9.687,0.543,9.643,0.021,0.009,9.64,,
idh1,dvinaRF20@Surflex,1.0,0.0,39,358796,3588,0.0,0.0,0.0,0.495,0.0,-0.001,-0.0,0.0,,
kat2a,dvinaRF20@Surflex,1.0,3.61,194,342923,3430,7.005,0.783,3.615,0.513,3.611,0.006,0.003,3.61,,
mapk1,dvinaRF20@Surflex,1.0,1.3,308,61875,619,4.006,0.566,1.302,0.502,1.301,0.002,0.002,1.3,,
mtorc1,dvinaRF20@Surflex,1.0,2.06,97,33069,331,2.0,0.674,2.066,0.505,2.062,0.006,0.005,2.06,,
oprk1,dvinaRF20@Surflex,1.0,8.33,24,269499,2695,1.999,0.893,8.335,0.537,8.33,0.007,0.001,8.33,,
pkm2,dvinaRF20@Surflex,1.0,2.38,546,245225,2453,12.999,0.705,2.387,0.507,2.381,0.007,0.005,2.38,,
pparg,dvinaRF20@Surflex,1.0,11.11,24,4095,41,2.67,0.922,11.814,0.551,11.124,0.078,0.075,11.11,,
tp53,dvinaRF20@Surflex,1.0,0.0,64,3409,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,
vdr,dvinaRF20@Surflex,1.0,0.91,655,263303,2634,5.963,0.476,0.91,0.5,0.91,-0.0,-0.0,0.91,,
adrb2,IFP@Surflex,1.0,23.53,17,311765,3118,4.001,0.959,23.559,0.613,23.533,0.017,0.002,23.53,,
aldh1,IFP@Surflex,1.0,15.35,5363,107237,1073,823.704,0.984,62.764,0.576,76.766,0.331,0.243,15.35,,
esr_ago,IFP@Surflex,1.0,7.69,13,4391,44,1.002,0.887,7.846,0.534,7.706,0.037,0.031,7.69,,
esr_antago,IFP@Surflex,1.0,5.88,88,3908,40,5.296,0.869,6.625,0.526,13.241,0.075,0.07,5.88,,
fen1,IFP@Surflex,1.0,6.78,360,351078,3511,24.41,0.872,6.82,0.529,6.78,0.019,0.011,6.78,,
gba,IFP@Surflex,1.0,9.64,163,291404,2915,15.718,0.906,9.687,0.543,9.643,0.021,0.009,9.64,,
idh1,IFP@Surflex,1.0,1.61,39,358796,3588,0.628,0.617,1.61,0.503,1.61,0.001,0.0,1.61,,
kat2a,IFP@Surflex,1.0,3.61,194,342923,3430,7.005,0.783,3.615,0.513,3.611,0.006,0.003,3.61,,
mapk1,IFP@Surflex,1.0,1.62,308,61875,619,4.992,0.619,1.625,0.503,1.621,0.004,0.004,1.62,,
mtorc1,IFP@Surflex,1.0,3.61,97,33069,331,3.505,0.784,3.638,0.513,3.613,0.014,0.012,3.61,,
oprk1,IFP@Surflex,1.0,12.5,24,269499,2695,3.0,0.926,12.513,0.558,12.5,0.011,0.002,12.5,,
pkm2,IFP@Surflex,1.0,7.14,546,245225,2453,38.996,0.879,7.239,0.531,7.142,0.029,0.022,7.14,,
pparg,IFP@Surflex,1.0,11.11,24,4095,41,2.67,0.922,11.814,0.551,11.124,0.078,0.075,11.11,,
tp53,IFP@Surflex,1.0,0.66,64,3409,35,0.434,0.396,0.656,0.498,1.239,-0.005,-0.005,0.66,,
vdr,IFP@Surflex,1.0,1.24,655,263303,2634,8.125,0.554,1.241,0.501,1.24,0.001,0.001,1.24,,
adrb2,GRIM@Surflex,1.0,17.65,17,311765,3118,3.001,0.946,17.666,0.583,17.652,0.012,0.002,17.65,,
aldh1,GRIM@Surflex,1.0,15.76,5363,107237,1073,845.705,0.986,70.678,0.578,78.817,0.34,0.25,15.76,,
esr_ago,GRIM@Surflex,1.0,7.69,13,4391,44,1.002,0.887,7.846,0.534,7.706,0.037,0.031,7.69,,
esr_antago,GRIM@Surflex,1.0,0.98,88,3908,40,0.883,0.495,0.98,0.5,2.207,-0.0,-0.0,0.98,,
fen1,GRIM@Surflex,1.0,7.32,360,351078,3511,26.354,0.88,7.368,0.532,7.32,0.02,0.012,7.32,,
gba,GRIM@Surflex,1.0,10.84,163,291404,2915,17.675,0.916,10.9,0.549,10.844,0.023,0.01,10.84,,
idh1,GRIM@Surflex,1.0,2.56,39,358796,3588,0.998,0.719,2.56,0.508,2.56,0.002,0.0,2.56,,
kat2a,GRIM@Surflex,1.0,3.61,194,342923,3430,7.005,0.783,3.615,0.513,3.611,0.006,0.003,3.61,,
mapk1,GRIM@Surflex,1.0,3.9,308,61875,619,12.017,0.798,3.957,0.515,3.902,0.021,0.019,3.9,,
mtorc1,GRIM@Surflex,1.0,2.06,97,33069,331,2.0,0.674,2.066,0.505,2.062,0.006,0.005,2.06,,
oprk1,GRIM@Surflex,1.0,12.5,24,269499,2695,3.0,0.926,12.513,0.558,12.5,0.011,0.002,12.5,,
pkm2,GRIM@Surflex,1.0,5.86,546,245225,2453,32.005,0.856,5.924,0.524,5.862,0.023,0.018,5.86,,
pparg,GRIM@Surflex,1.0,11.11,24,4095,41,2.67,0.922,11.814,0.551,11.124,0.078,0.075,11.11,,
tp53,GRIM@Surflex,1.0,0.0,64,3409,35,0.0,0.0,0.0,0.495,0.0,-0.014,-0.013,0.0,,
vdr,GRIM@Surflex,1.0,1.24,655,263303,2634,8.125,0.554,1.241,0.501,1.24,0.001,0.001,1.24,,
aldh1,TB-IECS,1.0,8.96,5363,107237,1073,480.807,0.939,15.423,0.542,44.81,0.184,0.135,8.96,0.61,
esr_antago,TB-IECS,1.0,2.8,88,3908,40,2.522,0.745,2.921,0.509,6.305,0.028,0.026,2.8,0.697,
fen1,TB-IECS,1.0,1.143,360,351078,3511,4.115,0.533,1.143,0.501,1.143,0.0,0.0,1.143,0.812,
gba,TB-IECS,1.0,0.0,163,291404,2915,0.0,0.0,0.0,0.495,0.0,-0.002,-0.001,0.0,0.689,
kat2a,TB-IECS,1.0,1.299,194,342923,3430,2.521,0.565,1.299,0.501,1.299,0.001,0.0,1.299,0.523,
mapk1,TB-IECS,1.0,0.0,308,61875,619,0.0,0.0,0.0,0.495,0.0,-0.007,-0.007,0.0,0.697,
mtorc1,TB-IECS,1.0,0.0,97,33069,331,0.0,0.0,0.0,0.495,0.0,-0.005,-0.005,0.0,0.511,
pkm2,TB-IECS,1.0,1.198,546,245225,2453,6.543,0.545,1.199,0.501,1.198,0.001,0.001,1.198,0.632,
tp53,TB-IECS,1.0,7.279,64,3409,35,4.783,0.892,8.273,0.533,13.665,0.088,0.084,7.279,0.654,
vdr,TB-IECS,1.0,0.543,655,263303,2634,3.558,0.352,0.542,0.498,0.543,-0.002,-0.002,0.543,0.609,
fen1,KIDA,0.5,12.319,360,351078,1756,22.182,0.926,12.464,0.528,6.162,0.026,0.019,12.319,,
fen1,KIDA,1.0,11.957,360,351078,3511,43.048,0.924,12.093,0.555,11.958,0.035,0.02,11.957,,
fen1,KIDA,5.0,4.348,360,351078,17554,78.264,0.814,4.363,0.584,21.74,0.025,0.007,4.348,,
kat2a,KIDA,0.5,9.722,194,342923,1715,9.432,0.907,9.77,0.522,4.862,0.015,0.009,9.722,,
kat2a,KIDA,1.0,6.25,194,342923,3430,12.128,0.862,6.269,0.526,6.251,0.013,0.006,6.25,,
kat2a,KIDA,5.0,3.611,194,342923,17147,35.028,0.783,3.616,0.565,18.056,0.014,0.003,3.611,,
pkm2,KIDA,0.5,2.451,546,245225,1227,6.696,0.711,2.459,0.504,1.226,0.005,0.004,2.451,,
pkm2,KIDA,1.0,2.451,546,245225,2453,13.387,0.711,2.459,0.507,2.452,0.007,0.005,2.451,,
pkm2,KIDA,5.0,2.794,546,245225,12262,76.281,0.737,2.805,0.545,13.971,0.019,0.008,2.794,,
