clustering_method,method_name,selected_columns,abl1,ace,aldr,andr,cdk2,cox1,dhi1,dyr,esr1,fa7,fabp4,gria2,hdac2,hivrt,hmdh,hs90a,hxk4,igf1r,kith,kpcb,lfa1,lkha4,nram,prgr,ptn1,pyrd,reni,urok,xiap,Average
espsim,method4,CHEMPLPTMScore,7.13,7.1,10.12,1.49,3.58,1.03,1.82,0.86,3.14,4.41,14.64,3.17,3.77,5.58,12.36,2.28,0.0,1.35,12.29,13.36,1.45,9.97,0.0,4.45,20.65,3.63,1.93,2.46,4.29,5.45896551724138
espsim,method5,CHEMPLPTMScore,11.51,6.74,10.75,2.61,5.9,2.06,1.21,2.59,4.96,15.88,14.64,5.08,4.85,11.17,17.06,2.28,0.0,9.47,10.54,20.04,2.18,12.32,0.0,5.14,23.71,3.63,2.9,7.38,10.73,7.838965517241379
espsim,method6,CHEMPLPTMScore,15.9,7.81,12.65,1.86,8.85,5.65,1.21,9.51,10.45,22.93,12.55,6.98,3.77,11.17,31.19,12.56,0.0,10.14,7.02,25.23,1.45,6.45,1.02,5.48,24.48,2.72,3.86,11.08,12.88,9.891379310344828
espsim,method7,CHEMPLPTMScore,13.16,8.51,11.38,2.61,8.01,2.06,1.21,4.32,3.92,16.76,20.91,4.44,4.85,11.17,18.83,4.57,0.0,8.79,8.78,20.78,1.45,11.14,0.0,7.19,22.95,5.44,2.9,8.0,10.73,8.443448275862067
espsim,method1,CHEMPLPCORCH,6.03,16.67,1.26,2.24,6.74,5.14,7.28,5.19,3.4,6.17,6.27,0.0,7.55,0.0,8.24,1.14,0.0,4.73,5.27,8.16,1.45,13.49,2.04,3.42,15.3,3.63,13.52,5.54,6.44,5.7348275862068965
espsim,method2,CHEMPLPCORCH,4.93,9.93,3.16,1.49,4.0,2.06,5.46,3.03,3.92,7.06,2.09,1.27,8.62,0.0,2.94,1.14,0.0,0.68,12.29,5.2,0.73,15.25,3.06,3.42,16.06,2.72,11.59,10.46,6.44,5.137931034482759
espsim,method3,CHEMPLPCORCH,4.93,11.0,3.79,0.37,4.21,1.03,3.34,4.76,3.4,2.65,2.09,1.27,8.62,0.0,2.94,1.14,0.0,0.0,10.54,5.94,0.0,8.8,2.04,3.42,15.3,1.81,7.72,8.61,8.58,4.424137931034482
espsim,method4,CHEMPLPCORCH,5.48,13.48,0.63,1.49,5.9,1.03,3.34,9.08,1.57,2.65,2.09,0.63,9.16,0.0,5.3,1.14,0.0,0.0,3.51,4.45,1.45,7.62,2.04,2.74,16.06,0.0,9.66,5.54,8.58,4.297241379310345
espsim,method5,CHEMPLPCORCH,4.39,5.32,0.0,2.24,4.21,0.51,5.46,6.48,2.87,6.17,0.0,0.63,4.85,0.0,1.18,0.0,0.0,0.0,0.0,1.48,2.91,10.56,3.06,3.42,13.0,1.81,9.66,9.84,4.29,3.5979310344827593
espsim,method6,CHEMPLPCORCH,3.84,3.9,0.63,2.98,3.16,2.06,6.07,9.51,1.57,6.17,0.0,0.63,1.08,5.58,0.59,2.28,0.0,0.0,0.0,0.0,0.73,1.76,1.02,2.74,11.47,0.0,3.86,11.69,0.0,2.873103448275862
